ARRAY;INDEX;TYPE;FR;EN;DE
ADMIN_INGREDIENTS_ALERTS;0;3;Veuillez sélectionner un ingrédient parmi les propositions.;Please select an ingredient among suggestions.;
ADMIN_INGREDIENTS_ERRORS;0;3;La paire ingrédient-mois existe déjà.;The ingredient-month pair already exists.;
ADMIN_PARTNERS_ALERTS;0;3;Le partenaire a été créé avec succès.;The partner has been successfully created.;
ADMIN_PARTNERS_ALERTS;1;3;Veuillez spécifier un nom de partenaire valide.;Please specify a valid partner name.;
ADMIN_PARTNERS_ALERTS;2;3;Veuillez spécifier l'adresse web du partenaire.;Please specify a web address for the partner.;
ADMIN_PARTNERS_ALERTS;3;3;Veuillez spécifier l'adresse de la bannière.;Please specify the link to the banner.;
ADMIN_PARTNERS_ALERTS;4;3;Veuillez sélectionner un partenaire.;Please select a partner.;
ADMIN_PARTNERS_ALERTS;5;3;Voulez-vous vraiment supprimer le partenaire;Do you really want to delete the partner;
ADMIN_PARTNERS_ALERTS;6;3;Le partenaire a été supprimé avec succès.;The partner has been successfully deleted.;
ADMIN_PARTNERS_ALERTS;7;3;Le partenaire a été édité avec succès.;The partner has been successfully edited.;
ADMIN_PARTNERS_ERRORS;0;3;Erreur durant la création du partenaire.;An error occurred during the partner creation process.;
ADMIN_PARTNERS_ERRORS;1;3;Erreur durant la création de l'utilisateur virtuel associé au partenaire.;An error occurred during the creation of the virtual user bound to the partner.;
ADMIN_PARTNERS_ERRORS;2;3;Erreur durant la suppression du partenaire.;An error occurred during partner deletion.;
ADMIN_PARTNERS_ERRORS;3;3;Le partenaire est introuvable.;The partner could not be found.;
ADMIN_RECIPES_ALERTS;0;3;Veuillez entrer un identifiant de recette valide.;Please enter a valid recipe identifier.;
ADMIN_RECIPES_ALERTS;1;3;Etes-vous sûr(e) de vouloir supprimer définitivement la recette ;Are you sure you want to permanently delete the recipe ;
ADMIN_RECIPES_ALERTS;2;3;Aucune recette trouvée avec cet identifiant.;No recipe found with provided identifier.;
ADMIN_RECIPES_ALERTS;3;3;Edition des tags de la recette;Recipe tags edit;
ADMIN_RECIPES_ALERTS;4;3;Ajoutez des tags à la recette en les sélectionnant dans la liste.;Add tags to the recipe by selecting them in the list.;
ADMIN_RECIPES_ALERTS;5;3;Les tags de la recette ont été sauvés.;Recipe tags have been saved.;
ADMIN_RECIPES_ALERTS;6;3;La recette a été supprimée avec succès.;Recipe has been successfully deleted.;
ADMIN_RECIPES_ALERTS;7;3;Etes-vous sûr(e) de vouloir invalider la recette ;Are you sure you want to dismiss the recipe ;
ADMIN_RECIPES_ALERTS;8;3;La recette a été marquée comme non-valide.;The recipe has been tagged as "invalid".;
ADMIN_RECIPES_ALERTS;9;3;Aucune recette invalide.;No invalid recipe.;
ADMIN_RECIPES_ERRORS;0;3;Impossible de mettre à jour les tags de la recette.;Failed to update recipe tags.;
ADMIN_USERS_ALERTS;0;3;Veuillez entrer un identifiant d'utilisateur valide.;Please provide a valid user ID.;
ADMIN_USERS_ALERTS;1;3;L'utilisateur a été élevé au rang d'administrateur.;User is now an administrator.;
ADMIN_USERS_ERRORS;0;3;L'utilisateur sélectionné est introuvable.;Selected user could not be found.;
ADMIN_USERS_ERRORS;1;3;L'utilisateur sélectionné est déjà un administrateur.;Selected user is already an administrator.;
ALLERGIES_KEYWORDS;0;0;oeuf;egg;
ALLERGIES_KEYWORDS;1;0;soja;soy;
ALLERGIES_KEYWORDS;2;0;sésame;sesame;
ALLERGIES_KEYWORDS;3;0;céleri;celery;
ALLERGIES_NAMES;0;0;Gluten;Gluten;
ALLERGIES_NAMES;1;0;Lactose;Lactose;
ALLERGIES_NAMES;2;0;Produits à base d'oeuf;Egg products;
ALLERGIES_NAMES;3;0;Poissons;Fish;
ALLERGIES_NAMES;4;0;Crustacés;Shellfish;
ALLERGIES_NAMES;5;0;Soja;Soy;
ALLERGIES_NAMES;6;0;Fruits à coque;Nuts;
ALLERGIES_NAMES;7;0;Sésame;Sesame;
ALLERGIES_NAMES;8;0;Céleri;Celery;
ARTICLES_ERRORS;0;1;Impossible de charger le contenu de l'article sélectionné.;Failed to load the content of the selected article.;Der Inhalt des ausgewählten Artikels konnte nicht geladen werden.
ARTICLE_ALERTS;0;1;Aucun article trouvé;No article found;Keine Artikel gefunden
ARTICLE_ALERTS;1;1;Aucune illustration;No picture;Keine Bilder
ARTICLE_CATEGORIES;0;0;Cuisine;Cooking;
ARTICLE_CATEGORIES;1;0;Santé;Health;
ARTICLE_DISPLAY_TEXT;0;0;Mots-clés:;Keywords:;
ARTICLE_DISPLAY_TEXT;1;0;Illustration de l'article;Article picture;
ARTICLE_DISPLAY_TEXT;2;0;Commentaires;Comments;
ARTICLE_FORM_TEXT;0;0;Titre;Title;
ARTICLE_FORM_TEXT;1;0;Catégorie;Category;
ARTICLE_FORM_TEXT;2;0;Contenu;Content;
ARTICLE_FORM_TEXT;3;0;Source;Source;
ARTICLE_FORM_TEXT;4;0;Illustrations;Pictures;
ARTICLE_FORM_TEXT;5;0;Mots-clefs;Keywords;
CHEFS_ALERTS;0;1;Aucune recette;No recipe;Keine Rezepte
CHEF_TEXT;0;0;Ses recettes;His recipes;
CHEF_TEXT;1;0;Chercher les recettes de;Search for recipes from;
COMMENTS_ALERTS;0;1;Le commentaire a été évalué.;The comment was rated.;Der Kommentar wurde bewertet.
COMMENTS_ALERTS;1;1;Le commentaire a été ajouté avec succès.;The comment was successfully added.;Der Kommentar wurde erfolgreich hinzugefügt.
COMMENTS_ALERTS;2;1;La note personnelle a été ajoutée avec succès.;The personal note was successfully added.;Die persönliche Notiz wurde erfolgreich hinzugefügt.
COMMENTS_ALERTS;3;1;Aucun commentaire n'a été ajouté.;No comment was added.;Es wurde kein Kommentar hinzugefügt.
COMMENTS_ALERTS;4;1;Aucune note personnelle n'a été ajoutée.;No personal note was added.;Es wurde keine persönliche Notiz hinzugefügt.
COMMENTS_ERRORS;0;1;Veuillez attendre un moment avant de publier un nouveau commentaire.;Please wait some time before publishing a new comment.;Bitte warten Sie einen Moment, bevor Sie einen neuen Kommentar veröffentlichen.
COMMENTS_ERRORS;1;1;Vous ne pouvez pas évaluer vos propres commentaires.;You may not rate your own comments.;Sie können Ihre eigenen Kommentare nicht bewerten.
COMMENTS_ERRORS;2;1;Vous avez atteint le nombre maximum de notes personnelles pour cette recette. Veuillez éditer ou supprimer une note existante.;You have reached the maximum allowed number of personal notes for this recipe. Please edit or delete an existing personal note.;Sie haben die maximale Anzahl Kommentare zu diesem Rezept erreicht. Vous avez atteint le nombre maximum de notes personnelles pour cette recette. Veuillez éditer ou supprimer une note existante.
COMMENTS_ERRORS;3;1;Le commentaire n'a pas pu être édité.;The comment could not be edited.;
COMMENTS_ERRORS;4;1;Le commentaire n'a pas pu être supprimé.;The comment could not be deleted.;
COMMENTS_ERRORS;5;1;Le texte du commentaire est trop court !;The content of the comment is too short!;
COMMENTS_ERRORS;6;1;Le texte du commentaire est trop long !;The content of the comment is too long!;
COMMENTS_ERRORS;7;1;Le commentaire n'a pas pu être enregistré.;The comment could not be saved.;
COMMENTS_ERRORS;8;1;Le commentaire n'a pas pu être évalué.;The comment could not be rated.;
COMMENTS_TEXT;0;0;Commentaires;Comments;
COMMENTS_TEXT;1;0;Afficher ;Display ;
COMMENTS_TEXT;2;0;aucun commentaire;No comment;
COMMENTS_TEXT;3;0; par page; per page;
COMMENTS_TEXT;4;0;Ajouter un commentaire;Add a comment;
COMMENTS_TEXT;5;0;Si vous le souhaitez, vous pouvez ajouter un commentaire à votre évaluation dans le champ ci-dessous.;If you want to, you can add a comment to your evaluation using the input field below.;
COMMENTS_TEXT;6;0;Ce commentaire est utile;This comment is useful;
COMMENTS_TEXT;7;0;Ce commentaire est inutile;This comment is not useful;
COMMENTS_TEXT;8;0;Positif;Positive;
COMMENTS_TEXT;9;0;Négatif;Negative;
COMMENTS_TEXT;10;0;Editer cette note;Edit this note;
COMMENTS_TEXT;11;0;Supprimer cette note;Delete this note;
COMMENTS_TEXT;12;0;Ajouter à;Add to;
COMMENTS_TYPES;0;0;notes personnelles;personal notes;
COMMENTS_TYPES;1;0;commentaires publics;public comments;
DAYS_NAMES;0;0;Lundi;Monday;Montag
DAYS_NAMES;1;0;Mardi;Tuesday;Dienstag
DAYS_NAMES;2;0;Mercredi;Wednesday;Mittwoch
DAYS_NAMES;3;0;Jeudi;Thursday;Donnerstag
DAYS_NAMES;4;0;Vendredi;Friday;Freitag
DAYS_NAMES;5;0;Samedi;Saturday;Samstag
DAYS_NAMES;6;0;Dimanche;Sunday;Sonntag
DEMO_TEXT;0;0;Pas d'inspiration pour ce soir ? Difficile de retrouver tes recettes favorites ?;No inspiration for tonight? Not able to retrieve your favorite recipes?;
DEMO_TEXT;1;0;Kookiiz t'offre un outil de recherche intelligent et la possibilité de sauver toutes tes recettes préférées !;Kookiiz offers a clever search engine and a placeholder to save all your favorite recipes!;
DEMO_TEXT;2;0;La planification des repas et des courses est un casse-tête ?;Planning meals and shopping sessions is a nightmare?;
DEMO_TEXT;3;0;Glisse et dépose les recettes qui te plaisent et Kookiiz écrit la liste des courses pour toi !;Drag and drop your choice of recipes and Kookiiz makes the shopping list for you!;
DEMO_TEXT;4;0;Soucieux ou juste curieux de savoir ce qu'il y a dans ton assiette ?;Interested in knowing what's actually in your plate?;
DEMO_TEXT;5;0;Kookiiz offre un outil personnalisable pour tout savoir sur ton alimentation !;Kookiiz offers a customizable tool to track your own nutrition!;
DEMO_TEXT;6;0;Tu souhaites partager tes expériences culinaires avec des amis ou de la famille ?;Do you want to share your culinary experience with friends or family members?;
DEMO_TEXT;7;0;Sur Kookiiz, tu peux échanger des recettes ou inviter tes amis à dîner en quelques clics !;On Kookiiz, you can share recipes or invite friends to dinner in a few clicks!;
DEMO_TEXTS_HEALTH;0;0;Qu'y a-t-il dans votre assiette ? Le contenu nutritionnel de chaque recette et celui de votre menu sont indiqués en détail.;What is actually in your plate? The nutritional content of each recipe as well as your menu are displayed in detail.;
DEMO_TEXTS_HEALTH;1;0;Un assistant nutritionnel très complet et personnalisable permet de suivre votre alimentation au quotidien.;A comprehensive and customizable assistant lets you track your daily nutrition.;
DEMO_TEXTS_MENU;0;0;Que manger ce soir ou demain ? Trouvez la recette idéale grâce aux nombreux critères de recherche et au tri en temps réel.;What are we going to eat tonight? Find the ideal recipe thanks to various smart criterias and real-time sorting.;
DEMO_TEXTS_MENU;1;0;Pour composer votre menu, rien de plus simple : glissez les recettes de votre choix sur les ardoises journalières.;Planning your menu is easy : drag and drop recipes of your choice on the daily slates.;
DEMO_TEXTS_MENU;2;0;Votre liste de courses se construit automatiquement et peut être éditée, imprimée ou partagée !;Your shopping list is automatically updated and can be edited, printed, sent or shared!;
DEMO_TEXTS_SHARE;0;0;En panne d'inspiration ? Découvrez ce que cuisinent vos amis et les recettes qu'ils ont préférées grâce au partage de statut.;No inspiration at all? Discover what your friends are cooking and the recipes they liked thanks to status sharing.;
DEMO_TEXTS_SHARE;1;0;Partagez vos recettes préférées en les glissant simplement sur le nom de vos amis !;Share your favorite recipes by dragging and dropping them on your friends!;
DEMO_TEXTS_SHARE;2;0;Créez une invitation pour un repas et conviez-y vos amis en quelques clics !;Invite your friends for dinner in just a few clicks!;
DEMO_TEXTS_TIPS;0;0;Des termes culinaires compliqués ? Un glossaire intelligent suggère automatiquement des définitions en relation avec le contenu visité.;Cooking-related terms you never heard of? A smart glossary automatically suggests definitions in relation with the content being displayed.;
DEMO_TYPES_NAMES;0;0;Recettes & Menu;Recipes & Menu;
DEMO_TYPES_NAMES;1;0;Suivi nutritionnel;Nutritional tracking;
DEMO_TYPES_NAMES;2;0;Astuces culinaires;Cooking tips;
DEMO_TYPES_NAMES;3;0;Partager la cuisine;Sharing;
DEMO_VIDEOS_HEALTH_TITLES;0;0;Manger équilibré;Eat healthy;
DEMO_VIDEOS_HEALTH_TITLES;1;0;Personnaliser son suivi alimentaire;Customize your nutritional tracking;
DEMO_VIDEOS_MENU_TITLES;0;0;Recettes & Menu;Recipes & Menu;
DEMO_VIDEOS_MENU_TITLES;1;0;Créer une liste de courses;Create a shopping list;
DEMO_VIDEOS_MENU_TITLES;2;0;Partager sa liste de courses;Share your shopping list;
DEMO_VIDEOS_SHARE_TITLES;0;0;Partager la cuisine;Share with friends;
DEMO_VIDEOS_TIPS_TITLES;0;0;Trucs et astuces culinaires;Cooking tips and tricks;
DISCONNECT_TEXT;0;0;Déconnexion en cours;Disconnecting;
DISCONNECT_TEXT;1;0;Si vous n'êtes pas automatiquement redirigé vers la page d'accueil;If you are not automatically redirected to Kookiiz welcome page;
DISCONNECT_TEXT;2;0;cliquez ici;click here;
EMAILS_BODY_EMAILCHANGE;0;0;Bonjour;Hello;
EMAILS_BODY_EMAILCHANGE;1;0;Pour valider votre nouvelle adresse email, veuillez suivre le lien suivant;To validate your new email address, click on the following link;
EMAILS_BODY_EMAILCHANGE;2;0;ou le copier dans la barre d'adresse de votre navigateur.;or copy-paste it on the address bar of your browser.;
EMAILS_BODY_EMAILCHANGE;3;0;Si vous n'êtes pas à l'origine de cette action, vous pouvez simplement ignorer ce message.;If you did not ask for an email address modification, please ignore this message.;
EMAILS_BODY_FRIENDREQUEST;0;0;Bonjour;Hello;
EMAILS_BODY_FRIENDREQUEST;1;0;souhaite vous ajouter à ses amis sur Kookiiz.;would like to add you to his friends on Kookiiz.;
EMAILS_BODY_FRIENDREQUEST;2;0;Pour accepter ou refuser cette demande, rendez-vous à l'adresse suivante;to accept or dany this request, click on the link below or copy-paste it in your browser;
EMAILS_BODY_FRIENDREQUEST;3;0;ou connectez-vous à votre compte Kookiiz et consultez vos notifications.;or log into Kookiiz and check your notifications.;
EMAILS_BODY_INVITATION;0;0;Bonjour;Hello;
EMAILS_BODY_INVITATION;1;0;vous a invité à un repas sur Kookiiz.;you have been invited to a dinner on Kookiiz.;
EMAILS_BODY_INVITATION;2;0;Pour accepter ou décliner cette invitation, rendez-vous à l'adresse suivante;To accept or decline the invitation, click on the link below or copy-paste it in your browser;
EMAILS_BODY_INVITATION;3;0;ou connectez-vous à votre compte Kookiiz et consultez vos notifications.;or log in on Kookiiz and check your notifications.;
EMAILS_BODY_PASSWORDRESET;0;0;Bonjour;Hello;
EMAILS_BODY_PASSWORDRESET;1;0;Une demande de changement de mot de passe pour votre compte utilisateur a été effectuée depuis le site Kookiiz.;A password modification request for your account was performed from Kookiiz website.;
EMAILS_BODY_PASSWORDRESET;2;0;Si vous n'êtes pas à l'origine de cette action, vous pouvez simplement ignorer ce message.;If you never performed such a request, please ignore this message.;
EMAILS_BODY_PASSWORDRESET;3;0;Pour changer votre mot de passe, cliquez sur le lien suivant;To change your password, click on the link below;
EMAILS_BODY_PASSWORDRESET;4;0;ou copiez-le dans la barre d'adresse de votre navigateur, puis utilisez le mot de passe temporaire;or copy-paste it in your browser, then use the temporary password;
EMAILS_BODY_PASSWORDRESET;5;0;pour vous identifier.;to log in.;
EMAILS_BODY_PASSWORDRESET;6;0;Une fois entré sur le site, nous vous conseillons de changer ce mot de passe sur la page de votre profil.;Once logged in, you should change this temporary password on your profile page.;
EMAILS_BODY_RECIPEADDED;0;0;Bonjour;Hello;
EMAILS_BODY_RECIPEADDED;1;0;Votre recette;Your recipe;
EMAILS_BODY_RECIPEADDED;2;0;a été ajoutée avec succès.;has been successfully added.;
EMAILS_BODY_RECIPEADDED;3;0;Vous pouvez y accéder à l'adresse suivante;You can access it at the following address;
EMAILS_BODY_RECIPEADDED;4;0;La communauté Kookiiz vous remercie pour cette précieuse contribution !;Kookiiz community would like to thank you for your contribution.;
EMAILS_BODY_RECIPEADDED;5;0;Vous avez choisi de garder cette recette privée. Elle n'apparaîtra donc pas aux autres membres de la communauté.;You have chosen to keep this recipe private. Other members won't be able to read it.;
EMAILS_BODY_SHOPPING;0;0;Bonjour;Hello;
EMAILS_BODY_SHOPPING;1;0;vous fait parvenir la liste de courses suivante depuis son compte Kookiiz;is sending the following shopping list from his Kookiiz account.;
EMAILS_BODY_SUBSCRIBE;0;0;Bonjour;Hello;
EMAILS_BODY_SUBSCRIBE;1;0;Pour confirmer la validité de votre adresse email, veuillez suivre le lien suivant;To validate your email address, please click on the following link;
EMAILS_BODY_SUBSCRIBE;2;0;ou le copier dans la barre d'adresse de votre navigateur.;or copy-paste it in your browser.;
EMAILS_BODY_SUBSCRIBE;3;0;Si vous n'êtes pas à l'origine de cette action, vous pouvez simplement ignorer ce message.;If you did not perform this action, you can simply ignore this message.;
EMAILS_FOOTERS;0;0;Salutations gourmandes de votre équipe Kookiiz !;Gourmand greetings from your Kookiiz team!;
EMAILS_FOOTERS;1;0;Pour ne plus recevoir ce type d'alerte, changez vos options sur;If you do not wish to received this type of message anymore, change your alert settings on;
EMAILS_FOOTERS;2;0;Vous aussi, rejoignez la communauté Kookiiz (www.kookiiz.com) et simplifiez-vous la cuisine !;Sign in on Kookiiz (www.kookiiz.com) and benefit from numerous functionalities helping you gain time, eat healthy and ease your life!;
EMAILS_TITLES;0;0;Kookiiz - Demande d'ajout à la liste d'amis !;Kookiiz - Friendship request!;
EMAILS_TITLES;1;0;Kookiiz - Invitation à un repas;Kookiiz - Invitation to a dinner;
EMAILS_TITLES;2;0;Kookiiz - Changement de mot de passe;Kookiiz - Password modification;
EMAILS_TITLES;3;0;Kookiiz - Votre nouvelle recette;Kookiiz - Your new recipe;
EMAILS_TITLES;4;0;Kookiiz - Votre liste de courses;Kookiiz - Your shopping list;
EMAILS_TITLES;5;0;Kookiiz - Confirmation de l'adresse email;Kookiiz - Email address confirmation;
EMAIL_ALERTS;0;1;Veuillez entrer une adresse email valide.;Please enter a valid e-mail address.;
EMAIL_ALERTS;1;1;Changement de l'adresse email;Email address modification;
EMAIL_ALERTS;2;1;Pour changer votre adresse email, veuillez remplir tous les champs.;To modify your e-mail address, please fill in all the fields.;
EMAIL_ALERTS;3;1;Votre adresse email a été confirmée avec succès. Vous allez maintenant être redirigé(e) sur la page principale de Kookiiz.;Your email adress has been successfully validated. You will now be redirected to Kookiiz main page;
EMAIL_ALERTS;4;1;Ce lien de confirmation est invalide ou périmé. Veuillez essayer de vous identifier sur la page d'accueil de Kookiiz avec votre email et mot de passe. Si cela ne fonctionne pas, contactez-nous à info@kookiiz.com et nous vous répondrons dans les plus brefs délais.;This confirmation link is invalid or expired. Try to log in on Kookiiz main page using your email and password. If it fails, please contact us at info@kookiiz.com and we will get back to you quickly.;
EMAIL_ERRORS;0;1;L'adresse email n'est pas valide.;The email address is not valid.;
EMAIL_ERRORS;1;1;Les deux adresses email ne correspondent pas.;The email addresses do not match.;
EMAIL_ERRORS;2;1;Le mot de passe fourni est incorrect.;Provided password is wrong.;
EMAIL_ERRORS;3;1;La nouvelle adresse choisie est identique à l'ancienne.;The new email address is identical to the old one.;
EMAIL_ERRORS;4;1;Cette adresse email est déjà associée à un compte Kookiiz.;This email adress already exists!;
EMAIL_TEXT;0;0;Adresse actuelle;Current email;
EMAIL_TEXT;1;0;Nouvelle adresse;New email;
EMAIL_TEXT;2;0;Confirmation;Confirmation;
EMAIL_TEXT;3;0;Votre adresse email a été confirmée avec succès. Vous allez être redirigé(e) sur la page principale de Kookiiz d'ici 5 secondes.;Your email adress has been successfully validated. You will be redirected to Kookiiz main page in 5 seconds;
EMAIL_TEXT;4;0;Ce lien de confirmation est invalide ou périmé. Veuillez essayer de vous identifier sur la page d'accueil de Kookiiz avec votre email et mot de passe. Si cela ne fonctionne pas, contactez-nous à info@kookiiz.com et nous vous répondrons dans les plus brefs délais.;This confirmation link is invalid or expired. Try to log in on Kookiiz main page using your email and password. If it fails, please contact us at info@kookiiz.com and we will get back to you quickly.;
EMAIL_TEXT;5;0;Cliquez ici pour retourner sur la page principale de Kookiiz immédiatement.;Click here to go back to Kookiiz main page immediately;
ERRORS;0;1;Une erreur inconnue s'est produite;An unknown error occurred.;
ERRORS;1;1;"Si vous ne comprenez pas l'origine de cette erreur, merci de la signaler à l'aide du bouton ""Feedback"".";If you do not understand why this error occurred, please report it with the feedback button.;
EVENTS_ADDEDRECIPE_TEXT;0;1;a ajouté une recette intitulée;added a recipe entitled;
EVENTS_ADDEDRECIPE_TEXT;1;1;J'ai ajouté la recette intitulée;I added a recipe entitled;
EVENTS_ALERTS;0;1;Aucun évènement à afficher;No event to display;
EVENTS_COMMENTRECIPE_TEXT;0;1;a commenté la recette;commented the recipe;
EVENTS_COMMENTRECIPE_TEXT;1;1;J'ai commenté la recette;I commented the recipe;
EVENTS_NEWLEVEL_TEXT;0;1;;;
EVENTS_NEWLEVEL_TEXT;1;1;;;
EVENTS_NEWMEMBER_TEXT;0;1;est devenu un chef Kookiiz;just became a Kookiiz Chef;
EVENTS_NEWMEMBER_TEXT;1;1;Je suis devenu un chef Kookiiz;I just became a Kookiiz Chef;
EVENTS_RATEDRECIPE_TEXT;0;1;a évalué la recette;rated the recipe;
EVENTS_RATEDRECIPE_TEXT;1;1;J'ai évalué la recette;I rated the recipe;
EVENTS_RATEDRECIPE_TEXT;2;1;Note attribuée:;Rating given:;
EVENTS_SHAREDRECIPE_TEXT;0;1;vous suggère la recette;shared with you the recipe;
EVENTS_SHAREDRECIPE_TEXT;1;1;J'ai suggéré à;I shared with;
EVENTS_SHAREDRECIPE_TEXT;2;1;la recette;the recipe;
EVENTS_SHAREDSTATUS_TEXT;0;1;cuisine;is cooking;
EVENTS_SHAREDSTATUS_TEXT;1;1;va faire les courses;is shopping;
EVENTS_SHAREDSTATUS_TEXT;2;1;a bien aimé;liked;
EVENTS_SHAREDSTATUS_TEXT;3;1;n'a pas aimé;disliked;
EVENTS_SHAREDSTATUS_TEXT;4;1;la recette;the recipe;
EVENTS_TEXT;0;0;Illustration de l'événement;Event picture;
EVENTS_TYPES_NAMES;0;0;Recette partagée;Shared recipe;
EVENTS_TYPES_NAMES;1;0;Recette ajoutée;New recipe;
EVENTS_TYPES_NAMES;2;0;Statut mis-à-jour;Status update;
EVENTS_TYPES_NAMES;3;0;Recette notée;Recipe rating;
EVENTS_TYPES_NAMES;4;0;Nouveau membre;New member;
EVENTS_TYPES_NAMES;5;0;Recette commentée;Recipe comment;
EVENTS_TYPES_NAMES;6;0;Article commenté;Article comment;
EVENTS_TYPES_NAMES;7;0;Liste de courses partagée;Shared shopping list;
FAVORITES_ALERTS;0;1;Cette recette fait déjà partie de vos favorites !;This recipe is already among your favorites!;
FAVORITES_ALERTS;1;1;Seuls les membres enregistrés peuvent ajouter des recettes à leur favorites !;Only registered members may add recipes to the recipe box!;
FEEDBACK_ALERTS;0;1;Votre message a bien été enregistré. Merci pour votre participation.;Your message has been saved. We thank you for your contribution and are looking forward to reading it.;
FEEDBACK_ALERTS;1;1;Veuillez sélectionner un type de feedback et écrire votre commentaire.;Please select a feedback type and write your comment.;
FEEDBACK_ALERTS;2;1;Feedback;Feedback;
FEEDBACK_ALERTS;3;1;Merci d'avoir répondu à nos questions. Si vous le souhaitez, vous pouvez soumettre un feedback personnalisé en cliquant sur le bouton en haut de la page.;You answered all our questions ! Thank you for your help ! If you want to, you can post a custom feedback by clicking on the dedicated button on top of this page.;
FEEDBACK_CONTENTS;0;0;fonctionnalité concernée;functionality;
FEEDBACK_CONTENTS;1;0;fonctionnalité concernée;functionality;
FEEDBACK_CONTENTS;2;0;nom de l'ingrédient;ingredient name;
FEEDBACK_CONTENTS;3;0;nom de l'ingrédient;ingredient name;
FEEDBACK_CONTENTS;4;0;sujet;subject;
FEEDBACK_ERRORS;0;1;Veuillez spécifier le contenu concerné.;Please state a content type.;
FEEDBACK_ERRORS;1;1;Veuillez ajouter un commentaire à votre feedback.;Please add a comment to your feedback.;
FEEDBACK_QUESTIONS;0;0;Avez-vous compris rapidement comment lancer une recherche de recettes ?;Did you quickly understand how to search for recipes?;
FEEDBACK_QUESTIONS;1;0;La page d'accueil vous a-t-elle plu ?;Did you like Kookiiz welcome page?;
FEEDBACK_QUESTIONS;2;0;Avez-vous trouvé le processus d'inscription ennuyeux ?;Was the signing in process boring?;
FEEDBACK_QUESTIONS;3;0;L'inscription était-elle rapide ?;Was the signing in process fast?;
