"ref";"name_fr";"name_en";"tags_fr";"tags_en";"cat";"pic";"unit";"wpu";"price";"exp";"prob"
3297.00;"ambériques";"mung";;;16.00;;1.00;0.00;;30.00;"3"
1734.00;"ananas";"pineapple";"fruit";"fruit";9.00;"ananas";10.00;600.00;0.35;5.00;"5"
4405.00;"ananas (confit)";"pineapple (candied)";;;19.00;;1.00;0.00;1.50;1000.00;"3"
1658.00;"ananas (jus)";"pineapple (juice)";"boisson";"drink";9.00;"juice";4.00;0.00;0.60;7.00;"4"
2984.00;"anchois";"anchovy";"poisson";"fish";15.00;"anchovies";1.00;0.00;5.00;;"5"
2985.00;"anchois (dans l'huile)";"anchovies (in oil)";"poisson,conserve";"fish, canned";15.00;;1.00;0.00;6.00;1000.00;"4"
213.00;"aneth";"dill";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;8.00;3.00;"3"
184.00;"aneth (graines)";"dill (seed)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;;1000.00;"4"
185.00;"aneth (séché)";"dill (dried)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;30.00;1000.00;"3"
3005.00;"anguille";"eel";"poisson";"fish";15.00;"eel";1.00;0.00;;1.00;"3"
170.00;"anis (graines)";"anise (seeds)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;3.60;1000.00;"3"
1543.00;"anone réticulée (coeur de boeuf)";"cherimoya crosslinked (beef heart)";"fruit";"fruit";9.00;;1.00;0.00;;7.00;"1"
4864.00;"anserine";"anserine";"plante";"plant";11.00;;1.00;0.00;;7.00;"2"
3564.00;"antilope";"antelope";"viande";"meat";17.00;;1.00;0.00;;3.00;"3"
3396.00;"arachides";"peanuts";;;16.00;;1.00;0.00;1.00;1000.00;"2"
4850.00;"arrow-root (dictame)";"arrowroot (balm)";"plante";"plant";11.00;;1.00;0.00;;7.00;"2"
2364.00;"artichaut";"artichoke";"légume";"vegetable";11.00;"artichoke";10.00;200.00;0.90;7.00;"5"
1990.00;"asperge";"asparagus";"légume";"vegetable";11.00;"asparagus";10.00;15.00;1.50;7.00;"5"
2088.00;"aubergine";"eggplant (aubergine)";"légume";"vegetable";11.00;"eggplant";10.00;250.00;0.50;7.00;"5"
5667.00;"autruche (côte)";"ostrich (rib)";"viande";"meat";5.00;"chop";1.00;200.00;4.00;3.00;"5"
5656.00;"autruche (cuisse)";"ostrich (leg)";"viande";"meat";5.00;;1.00;150.00;4.00;3.00;"5"
5666.00;"autruche (filet)";"ostrich (fillet)";"viande";"meat";5.00;"tenderloin";1.00;150.00;4.00;3.00;"5"
5651.00;"autruche (hachée)";"ostrich (chopped)";"viande";"meat";5.00;"minced_meat";1.00;0.00;4.00;1.00;"3"
5654.00;"autruche (pilon)";"ostrich (pestle)";"viande";"meat";5.00;;1.00;150.00;4.00;3.00;"3"
5655.00;"autruche (steak)";"ostrich (steak)";"viande";"meat";5.00;"steak";1.00;150.00;4.00;3.00;"4"
1511.00;"avocat";"avocado";"fruit";"fruit";9.00;"avocado";10.00;225.00;0.80;5.00;"5"
4421.00;"avoine";"oats";"céréale";"cereal";20.00;"oatmeal";1.00;0.00;0.50;1000.00;"5"
4493.00;"avoine (son)";"oats (sound)";"céréale";"cereal";20.00;"oat_bran";1.00;0.00;0.65;1000.00;"4"
1484.00;"azeroles";"azaroles";"fruit";"fruit";9.00;;1.00;0.00;;7.00;"3"
1485.00;"azeroles (jus)";"azaroles (juice)";"boisson";"drink";9.00;;4.00;0.00;;7.00;"3"
124.00;"babeurre";"buttermilk";;;1.00;;1.00;0.00;0.20;5.00;"2"
5405.00;"bacon";"bacon";"charcuterie,porc";"sausage, pork";10.00;;1.00;0.00;2.90;7.00;"5"
1975.00;"bacon (allégé)";"bacon (light)";"charcuterie,porc";"sausage, pork";10.00;;1.00;0.00;2.90;7.00;"3"
1976.00;"bacon (anglais)";"bacon (english)";"charcuterie,porc";"sausage, pork";10.00;;1.00;0.00;3.60;7.00;"5"
5462.00;"bacon (dinde)";"bacon (turkey)";"charcuterie,volaille";"meats, poultry";5.00;;1.00;0.00;5.00;3.00;"4"
3677.00;"bagel (donut)";"bagel (donut)";"pain";"bread";18.00;;1.00;100.00;1.00;5.00;"5"
1999.00;"bambou (pousses)";"bamboo (shoots)";"plante";"plant";11.00;;1.00;0.00;2.50;7.00;"4"
1704.00;"banane";"banana";"fruit";"fruit";9.00;"banana";10.00;200.00;0.35;3.00;"5"
1514.00;"banane (séchée)";"banana (dried)";"fruit,sec";"fruit lp";9.00;;1.00;0.00;1.20;1000.00;"4"
4082.00;"bannock (scone)";"bannock (scone)";"pain";"bread";18.00;;1.00;0.00;1.50;5.00;"2"
2986.00;"bar";"bass";"poisson";"fish";15.00;;1.00;0.00;3.50;1.00;"4"
3135.00;"bar d'amérique (bar rayé)";"striped bass (striped bass)";"poisson";"fish";15.00;;1.00;0.00;3.50;1.00;"5"
3134.00;"bar d'eau douce (achigan)";"freshwater bass (bass)";"poisson";"fish";15.00;;1.00;0.00;3.50;1.00;"4"
5879.00;"bar noir (mérou noir)";"black bass (black grouper)";"poisson";"fish";15.00;;1.00;0.00;3.50;1.00;"4"
3179.00;"barbue de rivière (poisson-chat)";"catfish";"poisson";"fish";15.00;;1.00;0.00;;1.00;"3"
2029.00;"bardane (glouteron)";"burdock (cocklebur)";"fruit";"fruit";11.00;;1.00;0.00;;7.00;"3"
212.00;"basilic";"basil";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;9.00;1000.00;"5"
171.00;"basilic (séché)";"basil (dried)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;40.00;1000.00;"4"
4358.00;"bâtonnets de viande (fumés)";"meat sticks (smoked)";"snack";"snack";25.00;;1.00;0.00;3.00;1000.00;"3"
3150.00;"baudroie";"anglerfish";"poisson";"fish";15.00;;1.00;0.00;6.60;1.00;"4"
3570.00;"beefalo";"beefalo";"viande";"meat";17.00;;1.00;0.00;;3.00;"2"
2096.00;"ben oléifère (feuilles)";"ben fodder (leaves)";"plante";"plant";11.00;;1.00;0.00;;7.00;"2"
2293.00;"ben oléifère (gousses)";"ben fodder (pods)";"fruit";"fruit";11.00;;1.00;0.00;;7.00;"2"
2053.00;"bette (blette)";"chard";"légume";"vegetable";11.00;"rating_chards";1.00;400.00;0.60;7.00;"4"
2052.00;"bette à carde";"swiss chard";"légume";"vegetable";11.00;;1.00;400.00;0.60;7.00;"4"
2500.00;"betterave";"beet";"légume";"vegetable";11.00;;1.00;0.00;0.35;7.00;"5"
2021.00;"betterave (feuilles)";"beet (leaves)";"plante";"plant";11.00;;1.00;0.00;;7.00;"3"
92.00;"beurre";"butter";;;1.00;"butter";1.00;0.00;1.50;7.00;"5"
5308.00;"beurre (allégé)";"butter (light)";;;1.00;"butter";1.00;0.00;1.70;7.00;"4"
2548.00;"beurre d'acajou";"mahogany butter";;;12.00;"butter";1.00;0.00;;1000.00;"3"
2605.00;"beurre d'amandes";"almond butter";;;12.00;"butter";1.00;0.00;;1000.00;"3"
3309.00;"beurre d'arachides";"peanut butter";;;16.00;;1.00;0.00;1.30;1000.00;"3"
5428.00;"beurre d'arachides (allégé)";"peanut butter (light)";;;16.00;;1.00;0.00;1.30;1000.00;"3"
3366.00;"beurre de cacahouètes";"peanut butter";;;16.00;;1.00;0.00;1.30;1000.00;"4"
3399.00;"beurre de cacahuète";"peanut butter";;;16.00;;1.00;0.00;1.30;1000.00;"4"
4293.00;"beurre de fruits (pomme)";"fruit butter (apple)";;;19.00;;1.00;0.00;;1000.00;"2"
16.00;"beurre fouetté";"whipped butter";;;1.00;"butter";1.00;0.00;2.00;7.00;"3"
118.00;"beurre salé";"salted butter";;;1.00;"butter";1.00;0.00;2.00;7.00;"5"
5307.00;"beurre salé (allégé)";"salted butter (light)";;;1.00;"butter";1.00;0.00;2.30;7.00;"4"
4005.00;"bicarbonate de soude";"baking soda";;;18.00;;2.00;0.00;;1000.00;"3"
2943.00;"bière";"beer";"boisson,alcool";"beverage alcohol";14.00;;4.00;330.00;3.00;1000.00;"4"
2966.00;"bière sans alcool";"alcohol-free beer";"boisson,alcool";"beverage alcohol";14.00;;4.00;0.00;0.35;1000.00;"4"
3868.00;"biscotte";"rusk";"pain";"bread";18.00;;1.00;10.00;1.50;1000.00;"5"
4826.00;"biscuits à l'avoine";"oatmeal cookies";;;18.00;;1.00;0.00;1.70;30.00;"4"
3808.00;"biscuits au beurre";"butter cookies";;;18.00;;1.00;0.00;1.70;30.00;"5"
3838.00;"biscuits au beurre d'arachides";"peanut butter cookies";;;18.00;;1.00;0.00;;30.00;"4"
3849.00;"biscuits au sucre";"sugar cookies";;;18.00;;1.00;0.00;;;"4"
3845.00;"biscuits sablés";"shortbread";;;18.00;;1.00;0.00;1.70;30.00;"4"
3572.00;"bison";"bison";"viande";"meat";17.00;"steak";1.00;0.00;9.00;3.00;"5"
5717.00;"bison (bifteck)";"bison (steak)";"viande";"meat";17.00;"steak";1.00;150.00;9.00;3.00;"5"
4988.00;"bison (entrecôte)";"bison (steak)";"viande";"meat";17.00;"steak";1.00;150.00;9.00;3.00;"5"
4993.00;"bison (épaule)";"bison (shoulder)";"viande";"meat";17.00;;1.00;0.00;9.00;3.00;"4"
4989.00;"bison (faux-filet)";"bison (sirloin)";"viande";"meat";17.00;"tenderloin";1.00;150.00;9.00;3.00;"4"
5716.00;"bison (haché)";"bison (chopped)";"viande";"meat";17.00;"minced_meat";1.00;0.00;9.00;3.00;"3"
5718.00;"bison (rôti)";"bison (roast)";"viande";"meat";17.00;"roast";1.00;0.00;9.00;3.00;"4"
126.00;"blanc d'oeuf";"egg white";;;1.00;;10.00;35.00;2.30;14.00;"4"
4448.00;"blé (grains germés)";"wheat (sprouted)";"céréale";"cereal";20.00;"wheat_germs";1.00;0.00;1.00;1000.00;"5"
4436.00;"blé (grains)";"wheat (seeds)";"céréale";"cereal";20.00;;1.00;0.00;1.00;1000.00;"5"
1140.00;"bockwurst";"bockwurst";"charcuterie,saucisse";"sausage, sausage";7.00;;1.00;0.00;;3.00;"3"
2824.00;"boeuf (aloyau)";"beef (sirloin)";"viande";"meat";13.00;;1.00;150.00;;3.00;"3"
2652.00;"boeuf (cervelle)";"beef (brain)";"viande,abats";"meat, offal";13.00;;1.00;0.00;;1.00;"2"
2654.00;"boeuf (coeur)";"beef (heart)";"viande,abats";"meat, offal";13.00;;1.00;0.00;;1.00;"3"
6104.00;"boeuf (contre-filet)";"beef (fillet)";"viande";"meat";13.00;"tenderloin";10.00;150.00;8.20;3.00;"4"
6145.00;"boeuf (côte)";"beef (rib)";"viande";"meat";13.00;"chop";10.00;200.00;4.70;3.00;"5"
2708.00;"boeuf (en gelée)";"beef (in jelly)";;;7.00;;1.00;0.00;2.30;1000.00;"1"
6144.00;"boeuf (entrecôte)";"beef (sirloin)";"viande";"meat";13.00;"tenderloin";10.00;150.00;5.90;3.00;"5"
2757.00;"boeuf (épaule)";"beef (shoulder)";"viande";"meat";13.00;;1.00;0.00;;3.00;"4"
6106.00;"boeuf (faux-filet)";"beef (tenderloin)";"viande";"meat";13.00;"tenderloin";10.00;150.00;8.20;3.00;"4"
6105.00;"boeuf (filet)";"beef (tenderloin)";"viande";"meat";13.00;"tenderloin";10.00;150.00;8.20;3.00;"5"
2656.00;"boeuf (foie)";"beef (liver)";"viande,abats";"meat, offal";13.00;"beef_liver";1.00;0.00;;1.00;"4"
2698.00;"boeuf (haché)";"beef (chopped)";"viande";"meat";13.00;"minced_meat";1.00;0.00;2.10;1.00;"4"
2669.00;"boeuf (langue)";"beef (tongue)";"viande";"meat";13.00;;1.00;0.00;;3.00;"2"
2655.00;"boeuf (rognons)";"beef (kidney)";"viande,abats";"meat, offal";13.00;;1.00;0.00;;1.00;"3"
2809.00;"boeuf (rôti)";"beef (roast)";"viande";"meat";13.00;"beef_roast";1.00;0.00;2.50;3.00;"4"
6111.00;"boeuf (steak)";"beef (steak)";"viande";"meat";13.00;"beef";10.00;150.00;4.40;3.00;"5"
2667.00;"boeuf (thymus)";"beef (thymus)";"viande,abats";"meat, offal";13.00;;1.00;0.00;;1.00;"3"
2670.00;"boeuf (tripes)";"beef (tripe)";"viande,abats";"meat, offal";13.00;;1.00;0.00;;1.00;"2"
2711.00;"boeuf salé";"corned beef";"viande";"meat";13.00;;1.00;0.00;;3.00;"3"
4974.00;"bolets (cèpes)";"boletus (porcini)";"champignon";"mushroom";11.00;"boletus";1.00;0.00;10.00;7.00;"5"
3166.00;"bonite à ventre rayé";"skipjack";"poisson";"fish";15.00;;1.00;0.00;4.90;1.00;"2"
1178.00;"boudin";"flange";;;7.00;"flange";1.00;0.00;;1.00;"3"
968.00;"bouillon de boeuf (cube)";"beef stock (cube)";"condiment";"condiment";6.00;;10.00;10.00;2.50;1000.00;"4"
967.00;"bouillon de boeuf (poudre)";"beef broth (powder)";"condiment";"condiment";6.00;;1.00;0.00;3.30;1000.00;"4"
5345.00;"bouillon de légume (cube)";"vegetable stock (cube)";"condiment";"condiment";6.00;;1.00;10.00;2.90;1000.00;"4"
973.00;"bouillon de poule (cube)";"chicken stock (cube)";"condiment";"condiment";6.00;;10.00;10.00;2.50;1000.00;"3"
972.00;"bouillon de poulet (poudre)";"chicken broth (powder)";"condiment";"condiment";6.00;;1.00;0.00;2.65;1000.00;"4"
5541.00;"boulettes de viande (substitut)";"meatballs (substitute)";"végétarien,quorn";"vegetarian quorn";16.00;;1.00;0.00;3.45;3.00;"5"
4414.00;"boulghour (bulgur)";"bulgur (bulgur)";"céréale";"cereal";20.00;;1.00;0.00;0.90;1000.00;"2"
4384.00;"bretzels (durs)";"pretzels (hard)";"snack";"snack";25.00;;1.00;0.00;2.00;1000.00;"3"
5533.00;"bretzels (mous)";"pretzels (soft)";"snack";"snack";25.00;;1.00;0.00;1.00;1000.00;"3"
19.00;"brick";"brig";"fromage";"cheese";1.00;;1.00;0.00;;5.00;"3"
20.00;"brie";"brie";"fromage";"cheese";1.00;"brie";1.00;0.00;2.00;5.00;"4"
3037.00;"brochet";"pike";"poisson";"fish";15.00;"fish";1.00;0.00;;1.00;"4"
3036.00;"brochet (filet)";"pike (net)";"poisson";"fish";15.00;;1.00;0.00;;1.00;"5"
2374.00;"brocoli";"broccoli";"légume";"vegetable";11.00;"broccoli";10.00;250.00;0.70;7.00;"5"
4851.00;"brocoli chinois";"chinese broccoli";"légume";"vegetable";11.00;;1.00;0.00;;7.00;"3"
5410.00;"brocoli-rave (rapini)";"kohlrabi broccoli (broccoli rabe)";"légume";"vegetable";11.00;;1.00;0.00;;7.00;"3"
3140.00;"brosme";"cusk";"poisson";"fish";15.00;;1.00;0.00;;1.00;"3"
3127.00;"buccin (bulot)";"whelk";"fruit de mer";"seafood";15.00;;1.00;0.00;;1.00;"3"
3195.00;"cabillaud";"cod";"poisson,morue";"fish, cod";15.00;"cod";1.00;0.00;4.00;1.00;"4"
3307.00;"cacahouètes";"peanuts";"fruit,sec";"fruit lp";16.00;"peanuts";1.00;0.00;1.00;1000.00;"5"
3305.00;"cacahuètes";"peanuts";"fruit,sec";"fruit lp";16.00;"peanuts";1.00;0.00;1.00;1000.00;"5"
4223.00;"cacao";"cocoa";"chocolat";"chocolate";19.00;;1.00;0.00;0.35;1000.00;"5"
1684.00;"cachiman (corrossol) épineux";"custard apple (corrossol) spiny";"fruit";"fruit";9.00;;1.00;0.00;0.50;7.00;"3"
2873.00;"café";"coffee";"boisson";"drink";14.00;;4.00;0.00;0.50;1000.00;"5"
2876.00;"café (décaféiné, poudre)";"coffee (decaffeinated, powder)";;;14.00;;1.00;0.00;1.00;1000.00;"4"
4981.00;"café (décaféiné)";"coffee (decaffeinated)";"boisson";"drink";14.00;;4.00;0.00;0.50;1000.00;"5"
2874.00;"café (poudre)";"coffee (powder)";;;14.00;;1.00;0.00;1.00;1000.00;"4"
5567.00;"caille";"quail";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;;3.00;"4"
681.00;"caille (blanc)";"quail (white)";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;;3.00;"4"
682.00;"caille (poitrine)";"quail (chest)";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;;3.00;"4"
3125.00;"calmars";"squid";"fruit de mer";"seafood";15.00;;1.00;0.00;1.65;1.00;"5"
21.00;"camembert";"camembert";"fromage";"cheese";1.00;"camembert";1.00;0.00;2.00;5.00;"4"
2942.00;"camomille";"chamomile";"boisson";"drink";14.00;;4.00;200.00;0.15;1000.00;"4"
663.00;"canard";"duck";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;3.50;3.00;"4"
664.00;"canard (aiguillette)";"duck (lanyard)";"viande,volaille";"meat, poultry";5.00;;1.00;100.00;3.00;3.00;"3"
665.00;"canard (blanc)";"duck (white)";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;3.00;3.00;"3"
4875.00;"canard (cuisse)";"duck (leg)";"viande,volaille";"meat, poultry";5.00;;1.00;150.00;3.00;3.00;"4"
666.00;"canard (foie)";"duck (liver)";"viande,volaille,abats";"meat, poultry, offal";5.00;;1.00;0.00;;1.00;"3"
4839.00;"canard (poitrine)";"duck (breast)";"viande,volaille";"meat, poultry";5.00;;1.00;0.00;3.00;3.00;"5"
1538.00;"canneberge (cranberry)";"cranberry";"fruit";"fruit";9.00;;1.00;0.00;;3.00;"3"
5593.00;"canneberge (jus)";"cranberry (juice)";"boisson";"drink";9.00;;4.00;0.00;0.35;7.00;"2"
5390.00;"canneberge (séchée)";"cranberry (dried)";"fruit,sec";"fruit lp";9.00;;1.00;0.00;1.50;1000.00;"3"
178.00;"cannelle (moulue)";"cinnamon (ground)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;15.00;1000.00;"5"
4502.00;"cannelloni";"cannelloni";"pâtes";"pasta";20.00;;1.00;0.00;0.90;1000.00;"5"
2928.00;"cappucino";"cappucino";"boisson";"drink";14.00;;4.00;0.00;1.00;1000.00;"5"
4890.00;"câpres";"capers";;;2.00;;1.00;0.00;1.80;1000.00;"5"
1523.00;"carambole (fruit étoilé)";"carambola (star fruit)";"fruit";"fruit";9.00;;1.00;0.00;;10.00;"3"
4143.00;"caramels";"caramels";"sucrerie,bonbon";"candy, candy";19.00;;10.00;0.00;2.50;1000.00;"5"
174.00;"cardamome (moulue)";"cardamom (ground)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;16.00;1000.00;"3"
2042.00;"cardon";"cardoon";"légume";"vegetable";11.00;;1.00;0.00;;7.00;"3"
183.00;"curry (poudre)";"curry (powder)";"condiment,épice,cari";"condiment, spice";2.00;;1.00;0.00;;1000.00;"3"
2380.00;"carotte";"carrot";"légume";"vegetable";11.00;"carot";10.00;80.00;0.25;7.00;"5"
2312.00;"carotte (jus)";"carrot (juice)";"boisson";"drink";11.00;;4.00;0.00;0.85;7.00;"5"
2353.00;"carotte (petite)";"carrot (small)";"légume";"vegetable";11.00;;1.00;0.00;0.80;7.00;"4"
5416.00;"carotte (séchée)";"carrot (dried)";"légume,sec";"vegetable, dry";11.00;;1.00;0.00;;1000.00;"3"
3278.00;"caroube (farine)";"carob (flour)";;;16.00;;1.00;0.00;;1000.00;"3"
2862.00;"caroube (poudre)";"carob (powder)";;;14.00;;1.00;0.00;;1000.00;"3"
2992.00;"carpe";"carp";"poisson";"fish";15.00;;1.00;0.00;;1.00;"5"
22.00;"carvi";"caraway";"fromage";"cheese";1.00;;1.00;0.00;;5.00;"4"
173.00;"carvi (graines)";"caraway (seeds)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;13.00;1000.00;"3"
2995.00;"caviar";"caviar";"oeufs,poisson";"eggs, fish";15.00;;1.00;0.00;240.00;7.00;"5"
4398.00;"cédrat (confit)";"citron (candied)";;;19.00;;1.00;0.00;1.50;1000.00;"5"
2387.00;"céleri";"celery";"légume";"vegetable";11.00;"celery";1.00;450.00;0.70;10.00;"5"
2386.00;"céleri (branche)";"celery (branch)";"légume";"vegetable";11.00;;1.00;0.00;0.50;10.00;"4"
5624.00;"céleri (flocons, séchés)";"celery (flakes, dried)";"légume,sec";"vegetable, dry";11.00;;1.00;0.00;;1000.00;"4"
175.00;"céleri (graines)";"celery (seed)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;;1000.00;"3"
2049.00;"céleri-rave";"celeriac";"légume";"vegetable";11.00;;1.00;450.00;0.70;10.00;"4"
1242.00;"céréales";"cereals";"petit-déjeuner";"breakfast";8.00;;1.00;0.00;0.80;1000.00;"5"
1472.00;"céréales (complètes)";"cereal (complete)";"petit-déjeuner";"breakfast";8.00;;1.00;0.00;1.80;1000.00;"5"
176.00;"cerfeuil (séché)";"chervil (dried)";"condiment,épice";"condiment, spice";2.00;;1.00;0.00;;1000.00;"4"
1531.00;"cerises";"cherries";"fruit";"fruit";9.00;"cherries";1.00;0.00;;5.00;"5"
4397.00;"cerises (confite)";"cherries (candied)";;;19.00;;1.00;0.00;1.50;1000.00;"4"
1526.00;"cerises amères";"sour cherries";"fruit";"fruit";9.00;;1.00;0.00;;5.00;"3"
6260.00;"cerises de Virginie";"chokecherries";"fruit";"fruit";9.00;;1.00;0.00;;7.00;"3"
1171.00;"cervelas";"sausage";"charcuterie";"delicatessen";7.00;;1.00;100.00;1.15;3.00;"5"
5919.00;"chabot";"sculpin";"poisson";"fish";15.00;;1.00;0.00;;1.00;"3"
4867.00;"champignons de paille";"straw mushrooms";"champignon";"mushroom";11.00;"mushrooms";1.00;0.00;;7.00;"4"
2399.00;"champignons de paris";"chestnut mushrooms";"champignon";"mushroom";11.00;"mushrooms";1.00;0.00;1.50;7.00;"5"
3028.00;"chanide";"milkfish";"poisson";"fish";15.00;;1.00;0.00;;1.00;"2"
3149.00;"chanos (poisson-lait)";"milkfish";"poisson";"fish";15.00;;1.00;0.00;;1.00;"3"
2123.00;"chanterelles (girolles)";"chanterelle mushroom";"champignon";"mushroom";11.00;;1.00;0.00;5.00;7.00;"4"
4069.00;"chapelure (panure)";"bread crumbs";;;18.00;;1.00;0.00;0.50;1000.00;"3"
659.00;"chapon";"capon";"viande,volaille";"meat, poultry";5.00;;10.00;800.00;;3.00;"3"
2274.00;"châtaigne d'eau chinoise";"chinese water chestnut";"plante";"plant";11.00;;1.00;0.00;;7.00;"3"
2553.00;"châtaignes (marrons)";"chestnut";"fruit";"fruit";12.00;;1.00;0.00;1.50;7.00;"4"
2054.00;"chayotte";"chayote";"fruit";"fruit";11.00;;1.00;0.00;;7.00;"3"
119.00;"cheddar";"cheddar";"fromage";"cheese";1.00;"cheese";1.00;0.00;2.50;5.00;"4"
105.00;"cheddar (allégé)";"cheddar (reduced)";"fromage";"cheese";1.00;"cheese";1.00;0.00;2.00;5.00;"3"
95.00;"cheddar à tartiner";"cheddar spread";"fromage";"cheese";1.00;;1.00;0.00;2.00;5.00;"3"
4969.00;"cheddar à tartiner (allégé)";"cheddar cheese spread (reduced)";"fromage";"cheese";1.00;;1.00;0.00;2.00;5.00;"3"
